3,2,532,Smart
2,2,409,Basic
2,0,958,Smart
2,2,309,Basic
1,5,2596,Basic
2,1,139,Smart
2,1,297,Basic
1,1,99,Basic
3,2,114,Smart
1,1,231,Smart
1,4,266,Smart
2,1,408,Smart
2,1,459,Smart
2,3,514,Smart
3,2,348,Smart
2,3,254,Smart
5,1,1769,Smart
0,4,23338,Basic
0,2,451,Basic
3,2,328,Smart
1,3,225,Basic
0,2,63,Basic
1,2,660,Smart
1,2,463,Basic
3,3,198,Smart
4,1,293,Smart
0,3,759,Basic
4,2,214,Smart
2,4,214,Smart
5,1,182,Smart
0,4,5672,Basic
1,1,169,Basic
1,2,13101,Basic
1,2,364,Smart
2,2,586,Basic
4,2,260,Smart
3,2,144,Smart
3,1,149,Smart
2,4,131,Smart
1,1,157,Basic
1,1,61,Basic
2,1,834,Smart
6,0,350,Smart
3,2,368,Smart
1,2,423,Basic
1,1,153,Basic
2,2,943,Smart
2,4,141,Smart
2,3,140,Smart
2,2,118,Smart
3,1,1333,Smart
2,3,198,Smart
2,3,424,Smart
1,3,433,Smart
2,1,197,Smart
0,3,284,Basic
4,2,672,Smart
1,2,189,Smart
2,4,15639,Basic
2,3,365,Smart
2,0,463,Smart
2,4,136,Smart
1,1,57,Basic
3,1,344,Smart
1,2,235,Basic
4,2,904,Basic
0,2,216,Basic
1,1,91,Basic
1,2,192,Basic
2,4,576,Basic
3,0,381,Smart
0,2,493,Basic
2,3,207,Basic
3,2,541,Smart
3,2,278,Basic
1,4,257,Basic
2,4,184,Smart
1,2,181,Basic
4,1,350,Smart
3,2,232,Smart
1,3,64251,Basic
5,1,444,Smart
1,1,123,Basic
1,3,1833,Smart
5,1,291,Smart
1,1,67,Basic
2,4,465,Smart
2,4,1517,Basic
2,2,200,Smart
3,0,481,Smart
1,5,100,Smart
2,0,2251,Smart
0,2,297,Basic
1,1,75,Basic
3,3,1219,Basic
1,5,797,Basic
5,1,986,Smart
3,1,270,Smart
2,0,226,Smart
2,3,735,Smart
3,3,130,Smart
1,3,763,Smart
3,3,343,Basic
3,1,192,Smart
2,1,121,Basic
1,4,229,Smart
1,4,214,Smart
3,0,2662,Smart
2,1,125,Smart
2,0,499,Smart
2,4,89,Smart
0,2,157,Basic
2,3,729,Basic
1,1,564,Smart
3,1,478,Basic
3,3,332,Smart
2,1,872,Smart
2,4,271,Smart
1,3,250,Smart
1,2,30402,Basic
3,3,165,Smart
1,5,4771,Basic
2,0,523,Smart
2,2,255,Smart
3,3,200,Smart
3,1,498,Smart
1,4,1071,Basic
3,3,137,Smart
4,1,284,Smart
3,2,199,Smart
2,1,132,Smart
1,1,100,Basic
2,2,491,Basic
5,1,163,Smart
4,2,336,Smart
3,1,102,Smart
3,1,335,Smart
1,2,328,Smart
1,2,477,Basic
1,4,139629,Basic
2,2,158,Smart
1,1,94,Basic
4,2,506,Smart
1,1,45,Basic
4,2,221,Smart
1,4,384,Basic
1,1,282,Basic
3,2,116,Smart
3,3,401,Smart
1,3,169,Smart
1,1,123,Basic
0,5,4520,Basic
2,2,828,Smart
3,2,240,Basic
4,2,247,Smart
4,2,180,Smart
1,2,810,Basic
4,2,455,Basic
3,3,170,Smart
3,2,273,Smart
5,0,558,Smart
3,1,135,Smart
0,3,3115,Basic
4,2,125,Smart
4,1,393,Basic
3,3,350,Smart
3,0,1146,Smart
4,1,312,Smart
2,1,330,Smart
2,2,284,Smart
2,2,168,Smart
3,2,412,Smart
4,2,283,Smart
0,4,3870,Basic
3,2,100,Basic
0,3,126,Basic
2,3,179,Smart
2,3,469,Basic
1,2,370,Basic
3,1,267,Smart
4,2,181,Smart
2,2,113,Smart
2,1,201,Smart
3,2,649,Smart
2,3,425,Basic
2,1,473,Basic
5,1,417,Smart
3,1,328,Smart
3,1,328,Smart
4,0,1009,Smart
4,1,1597,Basic
0,4,7729,Basic
2,3,124,Basic
2,2,126,Smart
4,1,718,Smart
4,2,336,Smart
1,3,650,Smart
2,2,224,Smart
2,1,629,Basic
0,2,87,Basic
1,1,72,Basic
0,4,438,Basic
2,1,165,Smart
0,3,4595,Basic
4,2,972,Smart
0,4,4174,Basic
2,2,170,Smart
3,1,450,Smart
1,1,115,Basic
3,3,153,Smart
2,2,137,Smart
1,1,129,Basic
2,0,90,Smart
1,4,850,Basic
0,2,123,Basic
0,4,679,Basic
2,1,330,Smart
2,3,2309,Basic
0,4,6729,Basic
1,1,109,Basic
3,2,447,Smart
1,1,87,Basic
2,3,112,Smart
2,2,119,Basic
1,2,295,Smart
1,1,204,Smart
1,3,1297,Smart
0,3,366,Basic
2,1,175,Basic
4,2,1129,Basic
2,2,150,Smart
2,2,448,Smart
1,5,215,Smart
2,2,351,Smart
2,2,176,Smart
2,1,162,Basic
3,2,151,Smart
2,1,123,Basic
0,3,232,Basic
3,3,3291,Basic
0,2,171,Basic
1,1,58,Basic
2,0,354,Smart
2,2,316,Smart
2,1,276,Basic
1,1,84,Basic
1,3,1636,Basic
1,3,184,Smart
3,3,84,Basic
2,3,199,Smart
0,3,398,Basic
3,2,127,Smart
2,0,684,Smart
1,1,42,Basic
4,2,398,Smart
2,2,638,Smart
1,3,1480,Basic
2,0,3507,Smart
2,3,204,Smart
1,3,464,Smart
2,1,206,Smart
3,1,206,Smart
2,3,429,Basic
1,5,71,Smart
2,4,171,Basic
2,2,186,Smart
2,2,231,Smart
2,3,150,Smart
1,2,186,Smart
4,1,163,Smart
5,1,266,Smart
3,3,113,Smart
2,2,134,Smart
3,3,4573,Basic
3,1,133,Smart
2,3,186,Smart
2,3,115,Smart
1,2,154,Basic
1,1,163,Basic
2,3,352,Smart
1,3,3416,Basic
5,0,223,Smart
3,1,401,Smart
3,2,187,Smart
0,2,168,Basic
0,2,144,Basic
0,3,666,Basic
1,1,63,Basic
1,3,750,Basic
2,3,269,Smart
1,3,634,Smart
2,1,209,Smart
1,1,124,Basic
2,3,453,Basic
1,4,535,Basic
2,3,957,Smart
1,1,76,Basic
1,1,208,Basic
1,1,39,Basic
1,2,188,Smart
4,1,250,Smart
3,0,1411,Smart
3,1,412,Smart
1,2,249,Basic
0,2,42,Basic
2,2,628,Basic
4,2,456,Basic
2,4,389,Basic
1,1,465,Smart
3,0,119,Smart
3,2,246,Smart
4,2,170,Smart
1,1,165,Basic
1,1,72,Basic
3,3,204,Smart
2,2,255,Basic
3,1,454,Smart
4,2,105,Smart
3,3,154,Smart
1,3,156,Smart
2,3,5304,Basic
2,1,1051,Smart
2,2,410,Basic
2,0,252,Smart
3,3,130,Smart
1,4,434,Basic
3,3,2456,Smart
0,2,70,Basic
2,2,297,Smart
0,3,6010,Basic
1,3,216,Basic
1,1,60,Basic
3,1,360,Smart
1,4,200,Smart
0,5,8729,Basic
0,3,18787,Basic
1,1,111,Smart
2,3,397,Basic
2,2,391,Smart
3,0,639,Smart
2,4,109,Smart
2,1,201,Smart
1,3,116,Basic
1,3,235,Smart
2,0,139,Smart
1,1,69,Basic
1,2,284,Basic
1,1,39,Basic
4,1,393,Smart
4,2,106,Smart
1,2,177,Smart
2,0,198,Smart
2,0,792,Smart
1,2,195,Smart
2,1,144,Smart
4,1,178,Smart
3,1,363,Smart
1,2,585,Basic
5,1,190,Smart
0,2,112,Basic
1,2,300,Smart
5,1,160,Smart
2,1,347,Smart
1,1,198,Smart
2,4,72649,Basic
1,4,381,Smart
1,1,114,Basic
2,2,971,Smart
2,3,117,Smart
2,1,474,Basic
2,2,721,Smart
3,3,307,Smart
2,2,172,Smart
3,2,165,Smart
3,1,179,Basic
1,1,79,Basic
0,2,129,Basic
0,2,271,Basic
1,1,141,Basic
2,2,144,Smart
2,2,725,Basic
2,2,533,Basic
4,1,167,Smart
1,2,384,Basic
3,0,296,Smart
0,4,339,Basic
2,3,243,Smart
4,2,234,Smart
0,4,1771,Basic
5,1,77,Smart
4,2,204,Smart
1,1,219,Basic
4,2,127,Smart
3,2,374,Basic
2,2,418,Basic
5,1,139,Smart
1,2,234,Basic
3,1,121,Smart
0,3,837,Basic
3,3,223,Smart
3,3,700,Smart
5,1,207,Smart
0,3,1153,Basic
1,2,349,Basic
4,0,223,Smart
0,2,441,Basic
2,1,249,Smart
3,3,281,Smart
2,1,405,Basic
1,2,70,Basic
1,1,93,Basic
1,1,69,Basic
2,1,190,Smart
4,1,359,Smart
1,2,217,Smart
2,4,144,Basic
0,3,7756,Basic
3,3,211,Smart
5,0,336,Smart
2,2,800,Basic
4,2,398,Basic
2,2,389,Basic
4,1,400,Basic
0,2,45,Basic
0,2,148,Basic
4,2,253,Smart
2,3,169,Smart
3,3,367,Smart
1,3,220,Smart
2,4,278,Smart
2,0,175,Smart
4,2,59,Smart
1,4,255,Smart
2,3,189,Smart
2,3,214,Smart
1,4,286,Smart
4,1,813,Smart
1,1,295,Basic
4,1,1015,Smart
2,3,79,Basic
2,1,87,Basic
1,1,114,Basic
2,3,2482,Smart
1,1,87,Basic
1,3,1232,Basic
4,0,322,Smart
0,5,54388,Basic
4,2,252,Smart
1,5,7393,Basic
1,4,1019,Basic
1,3,610,Smart
2,2,222,Smart
2,3,162,Smart
5,1,234,Smart
3,3,451,Smart
2,3,187,Smart
0,4,286,Basic
3,2,270,Smart
4,2,198,Smart
2,0,864,Smart
0,2,106,Basic
4,2,123,Smart
1,1,240,Smart
1,1,430,Basic
4,1,881,Smart
1,4,636,Basic
2,1,159,Basic
3,2,52,Smart
3,3,106,Smart
3,3,337,Smart
3,2,152,Smart
1,2,252,Smart
2,3,161,Smart
3,3,422,Smart
1,2,424,Basic
2,1,194,Smart
1,2,291,Smart
1,5,2977,Basic
3,2,356,Basic
2,1,238,Basic
1,3,60,Smart
2,0,90,Smart
1,5,850,Smart
4,1,251,Smart
2,0,285,Smart
2,1,103,Smart
2,4,2109,Basic
1,1,121,Basic
4,2,126,Smart
1,1,73,Basic
4,0,179,Smart
3,2,244,Smart
5,1,172,Smart
2,1,1108,Smart
2,1,183,Basic
2,3,130,Smart
1,1,69,Basic
2,4,123,Smart
4,2,149,Smart
1,5,587,Smart
0,5,29019,Basic
2,3,2095,Smart
4,1,241,Smart
4,2,581,Smart
2,4,244,Smart
2,1,232,Basic
2,0,2086,Smart
3,1,133,Smart
3,3,296,Smart
1,5,126,Smart
2,1,175,Smart
3,3,149,Smart
4,2,329,Smart
1,1,85,Basic
0,2,48,Basic
2,3,315,Smart
4,1,347,Smart
1,1,69,Basic
3,2,220,Smart
4,2,194,Smart
2,0,220,Smart
1,2,171,Basic
1,1,51,Basic
2,1,183,Smart
1,2,412,Basic
0,2,70,Basic
2,0,1399,Smart
0,2,171,Basic
2,3,267,Smart
3,0,517,Smart
3,3,128,Smart
1,3,374,Smart
1,2,604,Basic
0,4,2402,Basic
1,2,179,Basic
1,1,114,Basic
3,3,208,Smart
2,2,266,Smart
4,2,451,Basic
3,3,172,Smart
2,3,380,Smart
2,2,167,Smart
1,1,69,Basic
3,2,166,Smart
4,2,381,Smart
